device_code,device_name_en,include_in_MEMMS,observations,device_description_en,device_description_fr,device_name_fr
-20883,Sponge Retention Prevention Surgical Counters,No,Retired concept,,,
-20882,"Computer-Aided Detection Systems, Female Genital Tract",No,Retired concept,,,
-20881,Bone Tamp Inflation Syringes,No,Retired concept,,,
-20880,"Lens Edgers, Eyeglass",No,Retired concept,,,
-20879,Vision Therapy Training Kits,No,Retired concept,,,
-20878,Intradiscal Pressure/Volume Measurement Systems,No,Retired concept,,,
-20877,Ultrasound-Guided Endoscopic Hemorrhoid Ligation Units,No,Retired concept,,,
-20876,Prostate Tissue Pathology Slide Computer-Aided Detection Systems,No,Retired concept,,,
-20875,Laboratory Slide Digitizers,No,Retired concept,,,
-20874,Pathology Slide Computer-Aided Analyzers,No,Retired concept,,,
-20873,Single Balloon Gastrointestinal Upper Tract Endoscopes,No,Retired concept,,,
-20872,"Enteroscopes, Video, Single-Balloon",No,Retired concept,,,
-20871,"Adenosine Triphosphate (ATP) Luminometers, Portable",No,Retired concept,,,
-20870,"ATP (Adenosine Triphosphate Luminometers, Portable",No,Retired concept,,,
-20869,Radiofrequency Labeled Sponge Retention Prevention Detectors,No,Retired concept,,,
-20868,"Urine Analyzers, Semiautomated, Toxicology Screening",No,Retired concept,,,
-20867,Toxicology Screening Urine Analyzers,No,Retired concept,,,
-20866,Blood Flow Fluorescent Imaging Systems,No,Retired concept,,,
-20865,"Torque Devices, Guide Wire",No,Retired concept,,,
-20864,Guidewire External Torque Devices,No,Retired concept,,,
-20863,Breathing Sounds Recorders,No,Retired concept,,,
-20862,Respiration Sounds Recorders,No,Retired concept,,,
-20861,Breath Sounds Recorders,No,Retired concept,,,
-20860,Respiration Sounds Recording Software,No,Retired concept,,,
-20859,Breathing Sounds Recording Software,No,Retired concept,,,
-20858,Respiration Sounds Measuring Instruments,No,Retired concept,,,
-20857,Adenosine Triphosphate (ATP) Luminometer Software,No,Retired concept,,,
-20856,"Luminometer Software,  Adenosine Triphosphate (ATP) Contamination",No,Retired concept,,,
-20855,ATP (Adenosine Triphosphate) Luminometer Software,No,Retired concept,,,
-20854,Prostate Tissue Computer-Aided Detection System Software,No,Retired concept,,,
-20853,Image Computer-Aided Detection Systems,No,Retired concept,,,
-20852,Blood Cell Classification Computer-Aided Detection System Software,No,Retired concept,,,
-20851,Sponge Retention Prevention Surgical Detectors,No,Retired concept,,,
-20850,Sponge Retention Prevention Manual Counters,No,Retired concept,,,
-20849,Holding Rack Sponge Retention Prevention Counters,No,Retired concept,,,
-20848,Radiofrequency Sponge Retention Prevention Counters,No,Retired concept,,,
-20847,Bar-Code Sponge Retention Prevention Counters,No,Retired concept,,,
-20846,Electronic Inclinometers,No,Retired concept,,,
-20845,Digital Inclinometers,No,Retired concept,,,
-20844,Conductive Keratoplasty RF Therapy Systems,No,Retired concept,,,
-20843,Refractive Keratoplasty RF Therapy Systems,No,Retired concept,,,
-20842,CK (Conductive Keratoplasty) RF Therapy Systems,No,Retired concept,,,
-20841,Refractive Keratoplasty Lasers,No,Retired concept,,,
-20840,Thermal Keratoplasty Lasers,No,Retired concept,,,
-20839,Thermal Keratoplasty Systems,No,Retired concept,,,
-20838,"Inflation Syringes, Bone Tamp",No,Retired concept,,,
-20837,Controlled Disc Stimulation Systems,No,Retired concept,,,
-20836,"Manometers,  Spine, Intradiscal",No,Retired concept,,,
-20835,Lens Grinders,No,Retired concept,,,
