Id,Serial number,device_code,device_name_en,device_name_fr,Model,Status,Facility code,Facility name_en,Facility name_fr,Department,Department_name_en,Department_name_fr,Room,Manufacturer code,Manufacturer name,Manufacture date,Supplier,Supplier name,Supply date,Cost,Currency,Donor,Obsolete,Warranty start,Warranty period (Months)
4265,3134004497,16439,"Microscopes, Light, Laboratory, Fluorescence","Microscopes, Light, Laboratory, Fluorescence",PRIMO STAR,OPERATIONAL,190,Murunda HD,Murunda HD,Laboratory,Laboratory,Laboratory,n/a,Zeiss,Zeiss,n/a,Joe Achelis,Joe Achelis,n/a,n/a,n/a,n/a,false,n/a,n/a
4264,Art-Nr652.10,16174,"Sphygmomanometers, Electronic, Manual","Sphygmomanometers, Electronic, Manual",n/a,OPERATIONAL,282,Rutongo HD,Rutongo HD,Accidents & Emergencies,Accidents & Emergencies,Accidents & Emergencies,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4263,400982,15136,Distilling Units,Distilling Units,n/a,UNDERMAINTENANCE,380,Nyagatare HD,Nyagatare HD,Laboratory,Laboratory,Laboratory,n/a,belg,BELGIUM,2012-02-01 00:00:00.0,Gemmy,Gemmy,2013-06-05 00:00:00.0,n/a,n/a,n/a,false,2014-02-26 00:00:00.0,144
4262,29405938,18449,"Balances, Electronic, Analytic","Balances, Electronic, Analytic",n/a,UNDERMAINTENANCE,380,Nyagatare HD,Nyagatare HD,Laboratory,Laboratory,Laboratory,n/a,belg,BELGIUM,2012-02-01 00:00:00.0,AJ Costa,AJ Costa,2013-10-01 00:00:00.0,n/a,n/a,n/a,false,2014-02-26 00:00:00.0,24
4261,0021605-05,18270,"Centrifuges, Tabletop, High-Speed","Centrifuges, Tabletop, High-Speed",n/a,UNDERMAINTENANCE,380,Nyagatare HD,Nyagatare HD,Laboratory,Laboratory,Laboratory,n/a,belg,BELGIUM,2011-01-01 00:00:00.0,n/a,n/a,2013-08-01 00:00:00.0,n/a,n/a,n/a,false,2014-03-03 00:00:00.0,24
4260,ARMM0063,13037,Phototherapy Units,Phototherapy Units,Drager 2M2100,OPERATIONAL,282,Rutongo HD,Rutongo HD,Neonatology,Neonatology,Néonatologie,n/a,northam,NORTH AMERICAN DRAGER,n/a,n/a,n/a,n/a,n/a,n/a,human bridge,false,n/a,n/a
4259,ACY1091,13269,"Radiographic Units, Dental","Radiographic Units, Dental",n/a,OPERATIONAL,282,Rutongo HD,Rutongo HD,Dentistry,Dentistry,Dentistry,n/a,Kodak,Kodak,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,2012-09-16 00:00:00.0,12
4258,70025c,17157,"Refrigerators, Laboratory","Refrigerators, Laboratory",n/a,OPERATIONAL,282,Rutongo HD,Rutongo HD,Laboratory,Laboratory,Laboratory,n/a,Fiochette,Fiochette,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
4257,20854,18617,"Analyzers, Laboratory, Blood Gas","Analyzers, Laboratory, Blood Gas",n/a,OPERATIONAL,282,Rutongo HD,Rutongo HD,Laboratory,Laboratory,Laboratory,n/a,Human,Human,n/a,Pharmalab,Pharmalab,n/a,n/a,n/a,n/a,false,n/a,n/a
4256,1336,21159,"Analyzers, Physiologic, Visual Function, Macular Integrity","Analyzers, Physiologic, Visual Function, Macular Integrity",n/a,OPERATIONAL,282,Rutongo HD,Rutongo HD,Laboratory,Laboratory,Laboratory,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,false,n/a,n/a
